"Gene","p_value","log2FC","pct.1","pct.2","q_value","neg_log10_p","Classification"
"AI506816",0,-8.93458949725218,0.019,0.822,0,307.652655568589,"DOWN"
"H2-K1",0,-4.48331108862521,0.277,0.897,0,307.652655568589,"DOWN"
"Plcl1",0,2.69397652077524,0.772,0.19,0,307.652655568589,"UP"
"Magi2",0,2.80064259165812,0.846,0.264,0,307.652655568589,"UP"
"Gm19951",0,-4.90576124190273,0.22,0.772,0,307.652655568589,"DOWN"
"Pet2",0,-9.7341620090434,0.001,0.551,0,307.652655568589,"DOWN"
"Cdh18",0,-4.04526707913452,0.153,0.69,0,307.652655568589,"DOWN"
"Lrrc4c",0,1.98963287758535,0.73,0.214,0,307.652655568589,"UP"
"Pcdh9",0,2.55749559955866,0.927,0.411,0,307.652655568589,"UP"
"Grid2",0,2.08598721089999,0.683,0.17,0,307.652655568589,"UP"
"Prkn",0,1.86762509968189,0.748,0.236,0,307.652655568589,"UP"
"Lrp1b",0,2.15107746871629,0.803,0.296,0,307.652655568589,"UP"
"Plp1",0,2.75282871660857,0.667,0.163,0,307.652655568589,"UP"
"Kcnq3",0,2.3381155379728,0.635,0.142,0,307.652655568589,"UP"
"Erbb4",0,1.96244542289848,0.649,0.159,0,307.652655568589,"UP"
"Apoe",0,2.2821434093352,0.594,0.104,0,307.652655568589,"UP"
"Cdh20",0,3.0226170154296,0.567,0.079,0,307.652655568589,"UP"
"Ptprd",0,1.4196894253612,0.783,0.298,0,307.652655568589,"UP"
"Qk",0,1.87854208412274,0.861,0.377,0,307.652655568589,"UP"
"Dnm3",0,2.52020308036026,0.625,0.146,0,307.652655568589,"UP"
"Tmeff2",0,2.95059786424961,0.656,0.179,0,307.652655568589,"UP"
"Slc9a9",0,1.85510053038948,0.668,0.198,0,307.652655568589,"UP"
"Limch1",0,2.10277125612066,0.619,0.151,0,307.652655568589,"UP"
"Ctnna2",0,1.81100750647635,0.71,0.243,0,307.652655568589,"UP"
"Dlg2",0,1.35795928330317,0.726,0.259,0,307.652655568589,"UP"
"Ncam1",0,2.22754499753771,0.742,0.275,0,307.652655568589,"UP"
"Tmem178b",0,2.28762877853864,0.592,0.128,0,307.652655568589,"UP"
"Gnao1",0,2.01705994428537,0.695,0.233,0,307.652655568589,"UP"
"Col11a1",0,-4.68645397199677,0.124,0.585,0,307.652655568589,"DOWN"
"Nlgn1",0,1.53268676492659,0.703,0.245,0,307.652655568589,"UP"
"Mir100hg",0,1.99570187227829,0.699,0.243,0,307.652655568589,"UP"
"Enox1",0,2.34621246262428,0.576,0.12,0,307.652655568589,"UP"
"Tmod2",0,3.20089729044264,0.523,0.07,0,307.652655568589,"UP"
"Mbp",0,2.56714735318227,0.642,0.19,0,307.652655568589,"UP"
"Clasp2",0,1.4866913655633,0.774,0.325,0,307.652655568589,"UP"
"Gpm6b",0,2.03652728861702,0.673,0.225,0,307.652655568589,"UP"
"Abca1",0,1.42320637147772,0.613,0.169,0,307.652655568589,"UP"
"Dgkq",0,-4.72698823795473,0.128,0.572,0,307.652655568589,"DOWN"
"St6gal1",0,2.06874541938665,0.544,0.102,0,307.652655568589,"UP"
"Negr1",0,1.63761545045889,0.622,0.182,0,307.652655568589,"UP"
"Zdhhc14",0,1.76002490318052,0.621,0.184,0,307.652655568589,"UP"
"Fgfr2",0,2.07161374614582,0.584,0.15,0,307.652655568589,"UP"
"Moxd1",0,-6.67403135421634,0.015,0.448,0,307.652655568589,"DOWN"
"Ptprk",0,2.24754125231183,0.561,0.13,0,307.652655568589,"UP"
"Nfasc",0,2.0451353074466,0.609,0.179,0,307.652655568589,"UP"
"Edil3",0,2.97217105710346,0.56,0.131,0,307.652655568589,"UP"
"Myo5b",0,-6.78640051966383,0.019,0.448,0,307.652655568589,"DOWN"
"Mast4",0,2.35068858507077,0.693,0.264,0,307.652655568589,"UP"
"Grm3",0,3.76328986322851,0.475,0.051,0,307.652655568589,"UP"
"Xist",0,1.0093366452105,0.951,0.528,0,307.652655568589,"UP"
"Cdc42bpa",0,1.87250794632466,0.653,0.232,0,307.652655568589,"UP"
"Elmo1",0,1.52781062020161,0.719,0.298,0,307.652655568589,"UP"
"Otud7a",0,2.05192668659342,0.543,0.125,0,307.652655568589,"UP"
"Nrxn1",0,1.6911980514473,0.696,0.278,0,307.652655568589,"UP"
"Zbtb16",0,1.08847027396895,0.61,0.193,0,307.652655568589,"UP"
"Unc5c",0,2.22316028256735,0.581,0.167,0,307.652655568589,"UP"
"Bin1",0,2.0489380710757,0.573,0.16,0,307.652655568589,"UP"
"Slc24a2",0,3.49885564160846,0.554,0.143,0,307.652655568589,"UP"
"Ppp2r3a",0,2.42638410591659,0.506,0.095,0,307.652655568589,"UP"
"Csmd3",0,1.82135218967503,0.639,0.228,0,307.652655568589,"UP"
"Cdc37l1",0,2.30294575635455,0.525,0.114,0,307.652655568589,"UP"
"Lsamp",0,2.01592939506958,0.829,0.418,0,307.652655568589,"UP"
"Slc1a2",0,2.59370496273348,0.526,0.116,0,307.652655568589,"UP"
"Sema6d",0,1.92191765938865,0.531,0.122,0,307.652655568589,"UP"
"Naaladl2",0,2.20088398051964,0.504,0.095,0,307.652655568589,"UP"
"Myo6",0,1.9694168085489,0.527,0.12,0,307.652655568589,"UP"
"Dgki",0,2.16068387488329,0.555,0.151,0,307.652655568589,"UP"
"Kirrel3",0,2.43754215689288,0.55,0.148,0,307.652655568589,"UP"
"Apba1",0,1.290976557933,0.568,0.168,0,307.652655568589,"UP"
"Ptn",0,2.34026616737471,0.454,0.055,0,307.652655568589,"UP"
"Zbtb20",0,1.47549677833807,0.882,0.483,0,307.652655568589,"UP"
"Sgip1",0,1.85430285765477,0.509,0.112,0,307.652655568589,"UP"
"Kif1b",0,1.32659466983477,0.778,0.381,0,307.652655568589,"UP"
"Hecw2",0,2.6176224423348,0.5,0.104,0,307.652655568589,"UP"
"Fry",0,1.42043619460186,0.632,0.236,0,307.652655568589,"UP"
"Akap6",0,1.58791026250654,0.56,0.165,0,307.652655568589,"UP"
"Ctnnd2",0,1.73193863662476,0.613,0.218,0,307.652655568589,"UP"
"Atp8a1",0,1.40643188442805,0.703,0.308,0,307.652655568589,"UP"
"Phactr3",0,1.53076210365225,0.498,0.104,0,307.652655568589,"UP"
"Cadm2",0,1.08080179491062,0.764,0.37,0,307.652655568589,"UP"
"4930402H24Rik",0,1.32687128843465,0.741,0.348,0,307.652655568589,"UP"
"Daam1",0,1.57761854120802,0.6,0.207,0,307.652655568589,"UP"
"Gm16168",0,3.56487521824487,0.434,0.041,0,307.652655568589,"UP"
"Nrxn2",0,1.66577064086087,0.495,0.102,0,307.652655568589,"UP"
"Prickle2",0,2.04146843953109,0.592,0.201,0,307.652655568589,"UP"
"Dtna",0,2.30238497674668,0.587,0.196,0,307.652655568589,"UP"
"Srgap3",0,1.11537329166158,0.53,0.14,0,307.652655568589,"UP"
"Ube2e2",0,1.5367346987575,0.693,0.303,0,307.652655568589,"UP"
"Plekhg1",0,2.16035259327144,0.52,0.131,0,307.652655568589,"UP"
"Mdga2",0,1.5640053852468,0.732,0.344,0,307.652655568589,"UP"
"Tafa5",0,1.21264792972686,0.529,0.141,0,307.652655568589,"UP"
"St18",0,2.68783671544689,0.501,0.115,0,307.652655568589,"UP"
"Exoc6b",0,1.4091788542289,0.71,0.324,0,307.652655568589,"UP"
"Plxdc2",0,1.88649739732025,0.611,0.226,0,307.652655568589,"UP"
"Ptprm",0,1.36482352452054,0.513,0.128,0,307.652655568589,"UP"
"Mapt",0,1.86986690801801,0.632,0.249,0,307.652655568589,"UP"
"Enpp2",0,2.06230037734411,0.519,0.136,0,307.652655568589,"UP"
"Mir99ahg",0,1.42322538361907,0.67,0.289,0,307.652655568589,"UP"
"Ptgds",0,3.31589041075613,0.413,0.032,0,307.652655568589,"UP"
"Sorcs1",0,2.13861820612062,0.485,0.105,0,307.652655568589,"UP"
"Gria2",0,1.963568591094,0.552,0.173,0,307.652655568589,"UP"
"Slc24a3",0,2.3298486970623,0.445,0.066,0,307.652655568589,"UP"
"Ank3",0,1.68250768815929,0.65,0.271,0,307.652655568589,"UP"
"Dscaml1",0,1.92111643978394,0.55,0.172,0,307.652655568589,"UP"
"Arnt2",0,2.11816677079135,0.434,0.056,0,307.652655568589,"UP"
"Neo1",0,1.83646145499558,0.475,0.097,0,307.652655568589,"UP"
"Dpysl2",0,1.57660600443514,0.521,0.143,0,307.652655568589,"UP"
"Piezo2",0,-3.66479901658834,0.103,0.481,0,307.652655568589,"DOWN"
"Slc44a1",0,2.20185622569884,0.533,0.156,0,307.652655568589,"UP"
"Hmga2",0,-7.31765661777007,0.006,0.382,0,307.652655568589,"DOWN"
"Slc6a1",0,1.92669400837383,0.435,0.06,0,307.652655568589,"UP"
"Rab31",0,1.49492031031306,0.602,0.227,0,307.652655568589,"UP"
"Pex5l",0,3.44553523353883,0.471,0.1,0,307.652655568589,"UP"
"Luzp2",0,2.19941836777433,0.473,0.102,0,307.652655568589,"UP"
"Map7",0,2.85618463578465,0.532,0.161,0,307.652655568589,"UP"
"Clmn",0,2.71460285724186,0.449,0.078,0,307.652655568589,"UP"
"Frmd5",0,2.3539269418792,0.597,0.228,0,307.652655568589,"UP"
"St6galnac3",0,2.12010304669363,0.555,0.187,0,307.652655568589,"UP"
"Glul",0,2.27001900646052,0.437,0.069,0,307.652655568589,"UP"
"Pak7",0,3.06580442305182,0.433,0.066,0,307.652655568589,"UP"
"Nfia",0,1.19368853197016,0.779,0.413,0,307.652655568589,"UP"
"Ppp1r16b",0,2.4288231854448,0.491,0.125,0,307.652655568589,"UP"
"Usp54",0,2.04336344444118,0.47,0.104,0,307.652655568589,"UP"
"Gpc5",0,2.52699093315771,0.477,0.112,0,307.652655568589,"UP"
"Ano4",0,3.05637944617397,0.442,0.079,0,307.652655568589,"UP"
"Vps8",0,1.62182386891833,0.498,0.136,0,307.652655568589,"UP"
"Fnbp1",0,1.4868214435162,0.721,0.362,0,307.652655568589,"UP"
"Cttnbp2",0,1.73380125886359,0.441,0.082,0,307.652655568589,"UP"
"Ank2",0,1.51158110849983,0.852,0.496,0,307.652655568589,"UP"
"Syt11",0,1.98277492394806,0.445,0.091,0,307.652655568589,"UP"
"Sirt2",0,2.50503798424823,0.414,0.064,0,307.652655568589,"UP"
"Rcan2",0,2.41364346110545,0.403,0.056,0,307.652655568589,"UP"
"Daam2",0,2.18928720316549,0.453,0.108,0,307.652655568589,"UP"
"Zhx3",0,2.14448661587407,0.407,0.066,0,307.652655568589,"UP"
"Ctnna3",0,3.49650026832869,0.396,0.057,0,307.652655568589,"UP"
"Mobp",0,2.76983485812989,0.43,0.091,0,307.652655568589,"UP"
"Ppfibp2",0,2.66543086000745,0.387,0.049,0,307.652655568589,"UP"
"Pacrg",0,2.52193444305352,0.386,0.051,0,307.652655568589,"UP"
"Arhgef10",0,2.38121433478168,0.42,0.085,0,307.652655568589,"UP"
"Arhgef28",0,2.29098088956083,0.392,0.059,0,307.652655568589,"UP"
"Hepacam",0,3.30883438661079,0.349,0.021,0,307.652655568589,"UP"
"Fa2h",0,3.89388762844962,0.354,0.027,0,307.652655568589,"UP"
"Cst3",0,2.85020627239598,0.365,0.04,0,307.652655568589,"UP"
"Rnf213",0,-2.53805683756996,0.246,0.57,0,307.652655568589,"DOWN"
"Gm15726",0,-6.39133936606441,0.009,0.331,0,307.652655568589,"DOWN"
"Nlrc5",0,-2.7581036222633,0.155,0.477,0,307.652655568589,"DOWN"
"Mag",0,2.93017138105265,0.367,0.046,0,307.652655568589,"UP"
"Pcdh11x",0,2.34250552291503,0.377,0.056,0,307.652655568589,"UP"
"Ttll7",0,3.02015287943547,0.362,0.042,0,307.652655568589,"UP"
"Syt4",0,-4.55132888241769,0.048,0.367,0,307.652655568589,"DOWN"
"Tubb4a",0,3.01379747342491,0.349,0.03,0,307.652655568589,"UP"
"Trf",0,2.72331460339815,0.375,0.059,0,307.652655568589,"UP"
"Gm26917",0,-3.81964194599991,0.54,0.855,0,307.652655568589,"DOWN"
"1700047M11Rik",0,3.29311869202414,0.335,0.025,0,307.652655568589,"UP"
"Il18",0,2.54275550060515,0.335,0.03,0,307.652655568589,"UP"
"Lars2",0,-2.93826089387921,0.521,0.826,0,307.652655568589,"DOWN"
"Lama2",0,2.67361908563091,0.338,0.034,0,307.652655568589,"UP"
"Gbp3",0,-4.29135446067597,0.036,0.334,0,307.652655568589,"DOWN"
"Tspan2",0,3.75799979671655,0.327,0.029,0,307.652655568589,"UP"
"Neto1",0,-3.41283700880744,0.142,0.437,0,307.652655568589,"DOWN"
"Sept4",0,3.520472391375,0.316,0.023,0,307.652655568589,"UP"
"Mog",0,3.85850483856462,0.317,0.024,0,307.652655568589,"UP"
"Aspa",0,4.34650546924737,0.305,0.02,0,307.652655568589,"UP"
"Phyhipl",0,3.60338244018483,0.297,0.014,0,307.652655568589,"UP"
"Herc6",0,-2.76023620565039,0.175,0.455,0,307.652655568589,"DOWN"
"Irgm1",0,-3.22191933511609,0.076,0.348,0,307.652655568589,"DOWN"
"Atad2",0,-3.37672870222571,0.079,0.351,0,307.652655568589,"DOWN"
"Srsf2",0,-2.74784432675788,0.476,0.734,0,307.652655568589,"DOWN"
"G530011O06Rik",0,-5.84838944804738,0.007,0.264,0,307.652655568589,"DOWN"
"Cdk8",0,-2.90992081876897,0.452,0.709,0,307.652655568589,"DOWN"
"AI662270",0,-5.22134853259943,0.011,0.266,0,307.652655568589,"DOWN"
"Gm48619",0,-5.16630357957906,0.021,0.276,0,307.652655568589,"DOWN"
"Taco1",0,-3.6947821766825,0.061,0.308,0,307.652655568589,"DOWN"
"Gm48099",0,-6.70520561392647,0.005,0.244,0,307.652655568589,"DOWN"
"Gbp8",0,-3.85806809382121,0.027,0.265,0,307.652655568589,"DOWN"
"Prph",0,-7.36343633697307,0.002,0.229,0,307.652655568589,"DOWN"
"Gbp4",0,-4.16156342328896,0.015,0.241,0,307.652655568589,"DOWN"
"Ddx39b",0,-2.49327854895223,0.37,0.596,0,307.652655568589,"DOWN"
"Slc47a1",0,-3.54819045278015,0.011,0.233,0,307.652655568589,"DOWN"
"Cmss1",0,-2.36718906721057,0.588,0.809,0,307.652655568589,"DOWN"
"Gm11033",0,-7.07787878005779,0.002,0.197,0,307.652655568589,"DOWN"
"Trib3",0,-6.9481206020619,0.003,0.188,0,307.652655568589,"DOWN"
"AY036118",0,-2.01413283519979,0.637,0.805,0,307.652655568589,"DOWN"
"Neat1",0,-1.31980307501933,0.686,0.849,0,307.652655568589,"DOWN"
"Camk1d",0,-2.3172686638726,0.779,0.924,0,307.652655568589,"DOWN"
"Gm42418",0,-2.85767555108388,0.978,0.999,0,307.652655568589,"DOWN"
"Rsrp1",0,-1.26202353566258,0.836,0.846,0,307.652655568589,"DOWN"
"Malat1",0,0.925914764816314,0.999,0.995,0,307.652655568589,"NO"
"9330159F19Rik",2.12799708173903e-305,2.09177721399097,0.388,0.066,4.6796783824523e-301,300.329783993406,"UP"
"1500004A13Rik",7.20191249570512e-305,1.8634087992321,0.432,0.093,1.58377257693051e-300,299.800307181127,"UP"
"Gm3764",1.07593473239655e-304,2.84141218419882,0.392,0.075,2.36608807001326e-300,299.625969094193,"UP"
"Pde4b",1.60817494795631e-304,2.20003077919427,0.787,0.482,3.53653752805073e-300,299.451421729031,"UP"
"Kcna1",1.81788027030717e-304,3.85000502816716,0.302,0.019,3.99770050243249e-300,299.398189745239,"UP"
"Htra1",2.27022235857348e-304,2.31717565174331,0.35,0.043,4.99244598873895e-300,299.301686624889,"UP"
"Ypel2",7.24169614200269e-304,2.66331747946236,0.418,0.097,1.59252139858781e-299,298.797914723372,"UP"
"Dock10",2.59964187734943e-303,1.67238826543204,0.706,0.387,5.71687245247914e-299,298.242841497099,"UP"
"Gm47283",9.26162448145918e-301,-1.17497427039493,0.797,0.801,2.03672383971769e-296,295.691067853188,"DOWN"
"Slc8a1",2.36015266519878e-298,1.166150333779,0.694,0.311,5.19021172603865e-294,293.28481492547,"UP"
"Frmd4b",5.13785306177786e-298,1.29357109957822,0.588,0.217,1.12986526681557e-293,292.946973341797,"UP"
"Tmcc1",3.64694516869904e-297,1.10612001650026,0.7,0.311,8.01999712048607e-293,292.095825787646,"UP"
"Cpeb3",6.44044426873669e-296,1.41231398112976,0.482,0.127,1.41631809913788e-291,290.848839194962,"UP"
"Aatk",7.01931696600979e-295,1.34592118523507,0.513,0.15,1.54361799399521e-290,289.811460167489,"UP"
"Ephb1",1.14566749213425e-294,2.18614994223094,0.38,0.066,2.51943738195242e-290,289.598696431121,"UP"
"Kif13b",1.36746591779828e-294,1.52259250667404,0.594,0.234,3.0071942998302e-290,289.521838510503,"UP"
"Abca2",1.06242596305466e-292,2.24507056772878,0.35,0.048,2.3363809353535e-288,287.63145634622,"UP"
"Npm1",4.96997376711698e-292,-3.07791805207004,0.136,0.391,1.0929469311267e-287,286.961400925039,"DOWN"
"Parp10",5.60173443997269e-292,-3.35449603922996,0.047,0.277,1.2318774206944e-287,286.909432504968,"DOWN"
"D7Ertd443e",4.26999932586114e-291,3.38519716275367,0.333,0.045,9.39015551750123e-287,286.027327214993,"UP"
"Cdk16",1.50308797667869e-288,-3.05043323687643,0.174,0.423,3.30544076951412e-284,283.480770620595,"DOWN"
"Plpp3",1.00918386116481e-286,2.11846652974884,0.412,0.093,2.21929622908753e-282,281.653784724775,"UP"
"Setbp1",7.87704346818076e-286,1.19409338956757,0.498,0.135,1.73224062908763e-281,280.761391779394,"UP"
"Cldn11",1.22644578948431e-285,3.10583007749241,0.307,0.029,2.69707693565495e-281,280.569106664873,"UP"
"Mcam",1.47614164516556e-284,-3.20292762154052,0.089,0.334,3.24618309188359e-280,279.488626988653,"DOWN"
"Tap1",3.59874317886399e-284,-3.31010120778451,0.054,0.285,7.91399612463979e-280,279.101604166737,"DOWN"
"H2-D1",3.62714820984931e-284,-2.30275602687357,0.174,0.445,7.97646162827962e-280,279.09818971969,"DOWN"
"Gbp6",2.04047715032137e-283,-3.47910419540014,0.041,0.26,4.48721330127173e-279,278.348023285634,"DOWN"
"Elavl3",3.59192423870186e-283,1.45151844809069,0.461,0.118,7.89900059332926e-279,278.102427853552,"UP"
"Dock4",4.83939940131617e-283,0.839349505124964,0.775,0.359,1.06423232234344e-278,277.972963555031,"NO"
"Fam13c",2.18968165936898e-282,2.04564679962833,0.434,0.11,4.81532893711832e-278,277.31737404069,"UP"
"Coro2a",9.98059910645607e-282,-2.83594392835976,0.081,0.328,2.19483354950075e-277,276.658598409943,"DOWN"
"Slc12a2",3.81752454319058e-281,1.945336677294,0.425,0.105,8.39511822293041e-277,276.075973183599,"UP"
"Shtn1",4.71899626613347e-281,2.41536670918958,0.36,0.061,1.03775446888541e-276,275.983905387742,"UP"
"Plagl1",6.43037185519333e-281,-3.77929122091141,0.055,0.279,1.41410307467556e-276,275.849518933445,"DOWN"
"Tjp1",1.95038414047652e-280,1.13549672646945,0.627,0.255,4.28908976332192e-276,275.367634864624,"UP"
"Gbp2",3.59753060903428e-280,-4.9182614799483,0.012,0.197,7.91132956232728e-276,275.101750523701,"DOWN"
"Atg9b",4.8935851800762e-280,-8.02104304524185,0.002,0.168,1.07614831695056e-275,274.968127869195,"DOWN"
"Robo1",5.71124860491125e-280,1.78434484501428,0.453,0.12,1.25596068070603e-275,274.901023956474,"UP"
"Pakap",2.25352691469719e-279,3.07594291564076,0.378,0.082,4.95573103811059e-275,274.304892272077,"UP"
"Stat2",1.6508324538379e-278,-2.51756077647017,0.235,0.481,3.63034564923492e-274,273.440052023336,"DOWN"
"Col9a2",2.34980275898276e-278,-4.31583837861154,0.034,0.242,5.16745124727898e-274,273.286723612066,"DOWN"
"Mthfd1l",5.41849300632492e-278,-2.78388218501119,0.173,0.423,1.19158079702091e-273,272.923876504295,"DOWN"
"Zeb2",1.0996443721608e-277,0.769147418225911,0.834,0.507,2.41822793881881e-273,272.616502765549,"NO"
"Igtp",1.09772085959701e-275,-4.28935492031784,0.018,0.208,2.41399794233979e-271,270.617263104425,"DOWN"
"Stxbp6",1.9757758993923e-274,2.32936432200937,0.332,0.046,4.3449287803536e-270,269.36201733787,"UP"
"Slain1",4.33216719037912e-274,2.89376867362704,0.31,0.036,9.52686886836272e-270,269.021049812544,"UP"
"Csrp1",2.30693133155099e-273,2.45854925696175,0.321,0.041,5.07317269121379e-269,268.294720354011,"UP"
"Sept7",2.67555183166228e-273,1.46769389992126,0.621,0.275,5.88380603300851e-269,268.230341652767,"UP"
"Klhl2",4.36085595664925e-273,1.76206277006462,0.504,0.175,9.58995833426738e-269,268.018183279715,"UP"
"Xkr4",2.02043723391086e-272,1.74480181259063,0.435,0.111,4.44314352109338e-268,267.352309658082,"UP"
"Top2a",1.00109711497819e-271,-3.43142447885662,0.021,0.216,2.20151266554854e-267,266.657278811653,"DOWN"
"Mapre2",2.12387096243257e-271,1.6130378762346,0.421,0.1,4.67060463348548e-267,266.330626894169,"UP"
"Aplp1",2.32103515816555e-271,2.76849252128167,0.278,0.018,5.10418841632185e-267,266.292073302418,"UP"
"Nsd1",3.99537394694412e-270,0.667201517267054,0.7,0.27,8.78622684672482e-266,265.056197588117,"NO"
"Kazn",1.10446760085639e-269,1.58507376525427,0.399,0.086,2.42883470104328e-265,264.614602040925,"UP"
"Tbc1d5",2.71667803692636e-269,1.12101181149693,0.693,0.327,5.97424667100476e-265,264.223716849753,"UP"
"Bst2",8.93048381587147e-269,-3.55693045405137,0.04,0.251,1.9639026959483e-264,263.706880033687,"DOWN"
"Myo9a",1.05024796645751e-268,1.05818232909747,0.575,0.208,2.3096003030367e-264,263.636463172145,"UP"
"Kcnj10",1.13279936899158e-268,2.81504566893751,0.281,0.021,2.49113909234938e-264,263.603602023024,"UP"
"Tspan7",1.24699135564911e-268,1.98166633658444,0.388,0.084,2.74225869020795e-264,263.561891578565,"UP"
"Sox2ot",2.43838742190676e-268,1.49082178106241,0.609,0.29,5.36225777951515e-264,263.270652312037,"UP"
"Tmeff1",9.68643051851341e-268,2.19691405972105,0.35,0.06,2.13014293532628e-263,262.671591253866,"UP"
"Slc22a23",8.00327772200516e-267,1.88679552635743,0.457,0.139,1.76000080384615e-262,261.75448713383,"UP"
"Col2a1",8.55017997126206e-267,-5.87143068111964,0.009,0.181,1.88027007748024e-262,261.725779765239,"DOWN"
"Neb",3.71086882906362e-266,-4.98450102364663,0.01,0.183,8.16057164199381e-262,261.088279418174,"DOWN"
"Gm4258",6.28995257805591e-266,1.45069856204522,0.518,0.184,1.38322347144028e-261,260.859107650279,"UP"
"Fat3",6.63046922715913e-266,2.08315905307941,0.376,0.076,1.45810648774456e-261,260.83621075767,"UP"
"Ugt8a",1.37704757446805e-265,2.99435690131975,0.297,0.032,3.0282653210127e-261,260.518806076859,"UP"
"Cpeb2",2.8602288930633e-265,1.36608730475761,0.41,0.093,6.28992935873551e-261,260.201354232024,"UP"
"Atp11a",4.93426683907954e-265,1.49691552105039,0.409,0.094,1.08509462058198e-260,259.964532389553,"UP"
"Chl1",2.48852239353574e-263,-2.75410862583039,0.177,0.426,5.47250959562445e-259,258.261813468257,"DOWN"
"Iqsec1",1.51204704202862e-261,1.10546640896458,0.518,0.165,3.32514265012513e-257,256.478189718531,"UP"
"H2-Q4",1.27474391407326e-260,-2.53338671825201,0.097,0.341,2.8032893414385e-256,255.552332074232,"DOWN"
"Snx29",3.03828279500993e-260,1.06626926575405,0.633,0.255,6.68148769450633e-256,255.175126827108,"UP"
"Sept9",1.76440448384271e-259,-3.05616280998766,0.093,0.327,3.8801019004185e-255,254.411156868682,"DOWN"
"Kif1a",6.90187921787419e-259,1.14283781287413,0.409,0.09,1.51779225880271e-254,253.818787666536,"UP"
"Psd3",1.73156980716638e-258,0.984116862235138,0.527,0.176,3.8078951629396e-254,253.419315016901,"NO"
"Astn2",3.17159612652337e-258,1.76963585681768,0.444,0.13,6.97465704183755e-254,253.156477142678,"UP"
"Grik2",7.09838123968492e-258,1.15612538723429,0.646,0.31,1.56100501841911e-253,252.806595700738,"UP"
"Vim",9.12395977735937e-258,-3.03425771974039,0.061,0.282,2.0064499946391e-253,252.697571659415,"DOWN"
"Zbp1",2.61536005266619e-257,-3.60462977518878,0.02,0.205,5.75143829181821e-253,252.240223535469,"DOWN"
"Srcin1",2.47954370112908e-256,1.39432459381646,0.46,0.137,5.45276455315296e-252,251.263383254463,"UP"
"Tsix",2.76122114970039e-256,1.27050878689773,0.371,0.07,6.07220143030614e-252,251.216653830225,"UP"
"Osbpl1a",1.06907733321739e-255,1.49562804507908,0.426,0.113,2.35100796347837e-251,250.628745899804,"UP"
"Sh3d19",1.22290923000468e-255,1.64634027151996,0.482,0.168,2.6892996877033e-251,250.570360798571,"UP"
"Trpm3",2.23457855453552e-255,2.5218821250583,0.42,0.118,4.91406169927906e-251,250.308559394969,"UP"
"Myo1d",4.68113601366834e-255,2.49894634644121,0.312,0.044,1.0294286207658e-250,249.987403761413,"UP"
"A330015K06Rik",5.48391049491307e-255,4.3219635934959,0.263,0.019,1.20596675693633e-250,249.918664663571,"UP"
"Rnf220",7.08168741977475e-255,2.52660757038432,0.46,0.165,1.55733388048267e-250,249.807618268031,"UP"
"Car2",1.79734762609893e-253,3.17661049530098,0.27,0.022,3.95254716455415e-249,248.40312293906,"UP"
"Nr3c2",1.09996200906827e-252,1.39309095388919,0.38,0.079,2.41892645414203e-248,247.616377335874,"UP"
"Frmd4a",2.30220373346127e-252,2.28416357238,0.685,0.382,5.06277623025468e-248,247.295611267579,"UP"
"Snhg1",2.03638280954287e-250,-3.76367171220523,0.04,0.239,4.47820943646573e-246,245.34889559924,"DOWN"
"Klf7",3.76541470494379e-250,1.10959619311351,0.52,0.178,8.2805234776419e-246,245.081942207144,"UP"
"Dlg1",7.47701302414556e-250,1.06826106927666,0.563,0.212,1.64426993413985e-245,244.784026884312,"UP"
"Plekhh1",1.79356450835719e-249,3.19604744868554,0.292,0.039,3.94422771032829e-245,244.404038020079,"UP"
"Mertk",5.30338711964384e-249,1.96349542508413,0.469,0.165,1.16626786148088e-244,243.933201691942,"UP"
"Astn1",6.77511272512213e-249,1.96631887406087,0.327,0.053,1.48991503938161e-244,243.826838496004,"UP"
"Ccdc50",9.58564317513252e-249,1.1531342800874,0.493,0.159,2.10797879064339e-244,243.676133763077,"UP"
"Tap2",1.07865132934296e-248,-3.02630358376562,0.072,0.293,2.3720621383581e-244,243.624873938414,"DOWN"
"Ssh2",1.11030302145118e-248,1.12304992002701,0.675,0.334,2.4416673744733e-244,243.612313499797,"UP"
"Paqr8",1.9361821388264e-247,2.52313830343215,0.299,0.04,4.25785814149313e-243,242.37080881199,"UP"
"Trim2",1.99752075059526e-247,1.4922479210075,0.517,0.193,4.39274788263403e-243,242.357263721916,"UP"
"Adipor2",4.75372632868929e-247,2.29445515367017,0.378,0.093,1.04539195694206e-242,241.980720845609,"UP"
"Chn2",1.05023241875101e-246,1.88849791323245,0.423,0.122,2.30956611207534e-242,241.63646960142,"UP"
"Lrrc4b",1.69455533261077e-246,3.29152986823493,0.25,0.014,3.72649663194434e-242,241.428699266955,"UP"
"Trim25",2.11078888203833e-246,-2.65616157821944,0.113,0.348,4.64183583049049e-242,241.333310223461,"DOWN"
"Trim30a",5.36153256950765e-246,-1.85305224360221,0.161,0.425,1.17905462736043e-241,240.928466072927,"DOWN"
"Ttyh2",9.11847602226759e-246,2.00413885494412,0.366,0.083,2.00524406205687e-241,240.697832761022,"UP"
"Prkca",1.58977502680354e-245,0.983124336489726,0.666,0.317,3.49607426144366e-241,240.456419350925,"NO"
"Zfp385b",3.34855000186481e-245,-2.37643065383195,0.11,0.352,7.3637963091009e-241,240.132898233076,"DOWN"
