"Gene","p_value","log2FC","pct.1","pct.2","q_value","neg_log10_p","Classification"
"Rps6ka2",1.28224223461373e-81,1.04386589436624,0.152,0.037,2.81977889813905e-77,76.5497849438376,"UP"
"Lrrc4",1.31372663643784e-81,1.36924544305051,0.16,0.042,2.88901624619045e-77,76.5392500159228,"UP"
"Gabrb3",1.32747194332174e-81,0.97054754936751,0.197,0.063,2.91924355055885e-77,76.534729670599,"NO"
"Ppp2r5a",1.59664802652673e-81,0.341191304848143,0.336,0.156,3.51118867513492e-77,76.454545832919,"NO"
"Mccc2",3.43496329788982e-81,1.04501049767664,0.154,0.038,7.55382778838949e-77,76.1218329204093,"UP"
"Fn1",3.68028826795412e-81,-1.73724197549137,0.057,0.162,8.0933219300579e-77,76.0918731842254,"DOWN"
"Phf21a",4.01746586684317e-81,0.283086636347074,0.675,0.414,8.83480918777482e-77,76.0538028258506,"NO"
"Gpd2",4.18199466911484e-81,0.745207687373981,0.214,0.075,9.19662447685045e-77,76.0363715465761,"NO"
"Sdk1",4.28882957527097e-81,0.823406024231291,0.237,0.091,9.43156511897839e-77,76.025416232381,"NO"
"Pola1",4.57618716535273e-81,-2.05973103566315,0.142,0.262,1.00634931953272e-76,75.997251242727,"DOWN"
"Rbm10",5.35618619056027e-81,0.439173525548809,0.268,0.109,1.17787890516611e-76,75.9288993560017,"NO"
"Mgat4c",5.51775730765718e-81,1.04831040799476,0.194,0.063,1.21341000952689e-76,75.9159924268435,"UP"
"Ring1",5.68228580418714e-81,0.963604340967498,0.167,0.046,1.24959147119879e-76,75.9032319476345,"NO"
"Pdgfd",5.80422033328562e-81,1.92488177283164,0.122,0.021,1.27640609349284e-76,75.8940111311755,"UP"
"Mlkl",7.17637818135211e-81,-2.62326393785998,0.038,0.129,1.57815732586114e-76,75.8018497043284,"DOWN"
"Krba1",9.02720742241696e-81,0.88169053219601,0.157,0.04,1.98517318426371e-76,75.7022015998887,"NO"
"Inpp5j",1.00291283978497e-80,2.31149894629943,0.103,0.012,2.20550562597113e-76,75.6564918300528,"UP"
"Ube3a",1.18114068928781e-80,0.249691318780501,0.369,0.176,2.59744648981283e-76,75.5854533906114,"NO"
"Adap1",1.48997727113868e-80,0.333468975401982,0.247,0.094,3.27660901696107e-76,75.4845753779361,"NO"
"Hcn2",1.50623806477527e-80,1.60674757906439,0.164,0.046,3.31236812824729e-76,75.4798614028105,"UP"
"Pcdh10",1.65350351896079e-80,1.05054501186708,0.168,0.047,3.63621958854667e-76,75.4393498979433,"UP"
"Ostm1",2.03998294501064e-80,1.69237835995317,0.131,0.026,4.48612649437289e-76,75.3481284848695,"UP"
"Dtx1",2.16615875867328e-80,1.9188527871295,0.11,0.015,4.76359972619842e-76,75.3220647383745,"UP"
"Nrg1",2.34635485322832e-80,0.577939464300615,0.34,0.161,5.1598689577344e-76,75.2873613277634,"NO"
"Snhg14",2.40807167848498e-80,0.254778965680235,0.3,0.127,5.29559042815632e-76,75.276085611497,"NO"
"Hmox2",3.10023837272887e-80,0.765434525814599,0.186,0.058,6.81773420546806e-76,75.1663599340764,"NO"
"Depdc5",3.15564631806362e-80,0.34951054383169,0.373,0.183,6.9395818180537e-76,75.158666699514,"NO"
"Zfp280d",3.44767764098911e-80,0.307856644317652,0.394,0.197,7.58178790029914e-76,75.1202283690811,"NO"
"Eva1a",3.4855429229611e-80,2.10895276797225,0.102,0.011,7.66505744188376e-76,75.1154845861978,"UP"
"Tnpo2",3.56317352675332e-80,-2.04791054133412,0.144,0.262,7.83577490268324e-76,75.1059180484209,"DOWN"
"Cacna2d3",4.13301779247755e-80,0.433606888142593,0.27,0.11,9.08891942743738e-76,75.0414877465466,"NO"
"Trim59",4.31625454188058e-80,1.77572357990576,0.137,0.03,9.49187536304958e-76,75.0226479730985,"UP"
"Adgrl3",4.62478292221051e-80,0.592890987895331,0.565,0.375,1.01703601242331e-75,74.9926636687883,"NO"
"Trpc4ap",5.77621062356484e-80,0.317142684991522,0.361,0.173,1.27024647822814e-75,74.8961120005021,"NO"
"Slc7a11",5.98566336814984e-80,1.91592514359532,0.147,0.036,1.31630723128983e-75,74.8806427328488,"UP"
"Dido1",6.72992156570618e-80,0.351181313934158,0.334,0.154,1.47997705151445e-75,74.8297450187117,"NO"
"Arid4b",6.8393815923564e-80,0.246228482929995,0.551,0.311,1.5040484059751e-75,74.8227381862779,"NO"
"Khdrbs2",6.97517292253447e-80,1.02415509743389,0.204,0.07,1.53391027739456e-75,74.8142000427156,"UP"
"Mia2",7.86554571831689e-80,0.227376014977549,0.321,0.144,1.72971215891507e-75,74.7620261617241,"NO"
"Aifm1",8.32172397858415e-80,1.28925404825053,0.14,0.031,1.83003032013044e-75,74.7375417147744,"UP"
"Kcnip4",1.04152926610321e-79,0.122985664006634,0.374,0.178,2.29042700908757e-75,74.6400835436851,"NO"
"Hacd3",1.08846271876168e-79,0.492812473413767,0.263,0.108,2.39363836482881e-75,74.6209414629617,"NO"
"Chm",1.20507210933437e-79,0.46394030937002,0.227,0.083,2.65007407563722e-75,74.5767419863685,"NO"
"Hist1h2be",1.41920366976468e-79,1.47214380463705,0.144,0.034,3.1209707901795e-75,74.5057102959688,"UP"
"Galnt17",1.50859837418694e-79,0.680598843812373,0.209,0.072,3.31755868467451e-75,74.4791813861109,"NO"
"Emc8",1.52330175766677e-79,0.8191989722584,0.174,0.05,3.34989289528499e-75,74.4749690782558,"NO"
"Tubgcp5",2.02029549968077e-79,0.77750839396983,0.235,0.091,4.44283183334797e-75,74.3523401250286,"NO"
"Phf21b",2.29704533899097e-79,1.12575050143632,0.127,0.024,5.05143240497504e-75,74.2965854540858,"UP"
"AU040320",2.7007331488079e-79,0.358270594404431,0.346,0.164,5.93918226754344e-75,74.2262733464567,"NO"
"Tspan3",2.85036851955568e-79,1.07166372940695,0.168,0.047,6.2682454113549e-75,74.2028540085802,"UP"
"Rasal2",2.87538471523193e-79,0.452780877217664,0.433,0.231,6.32325852726653e-75,74.1990590616361,"NO"
"Usp13",3.17112923739838e-79,1.23998288507664,0.112,0.016,6.97363030596277e-75,74.1565410796638,"UP"
"Lrig2",3.21644145935482e-79,0.388127672178725,0.267,0.109,7.07327641326717e-75,74.1503793699946,"NO"
"Os9",4.07106378124698e-79,0.610490410636481,0.223,0.082,8.95267636134024e-75,74.0480471149402,"NO"
"Trip4",4.41005384547702e-79,0.483348474921453,0.308,0.138,9.69814941158852e-75,74.0133111293431,"NO"
"Stx5a",4.4406151465481e-79,0.385746614760364,0.318,0.144,9.76535676877393e-75,74.010311885517,"NO"
"Slc27a1",4.63098115017541e-79,0.578306279649033,0.286,0.127,1.01839906473507e-74,73.9920820081963,"NO"
"Kcnn3",4.70061407985257e-79,1.76631778522241,0.119,0.02,1.03371204230038e-74,73.9856004243532,"UP"
"9530026P05Rik",5.40396892490126e-79,1.81745131288612,0.152,0.039,1.18838680627504e-74,73.925042178472,"UP"
"Plpp4",6.98585822298224e-79,1.39682665758881,0.122,0.022,1.53626008181602e-74,73.8135352540077,"UP"
"Nr4a1",8.89876766197863e-79,-3.01540619465472,0.043,0.135,1.95692799654572e-74,73.7084251535337,"DOWN"
