ens_id,gene,log2FC,aveEXP,t,p-value,q-value
ENSG00000100600,LGMN,1.44,5.59,16.99,6.03E-45,1.16E-45
ENSG00000100601,ALKBH1,1.03,2.82,21.82,2.78E-62,9.14E-63
ENSG00000100603,SNW1,0.76,5.07,13.36,8.29E-32,1.14E-32
ENSG00000100604,CHGA,-4.68,4.22,-24.82,1.29E-72,6.07E-73
ENSG00000100605,ITPK1,-1.46,6.26,-16.81,2.72E-44,5.15E-45
ENSG00000100612,DHRS7,1.15,5.82,20.05,5.39E-56,1.43E-56
ENSG00000100614,PPM1A,0.44,4.27,7.81,1.19E-13,1.04E-14
ENSG00000100625,SIX4,0.27,0.67,4.99,1.05E-06,7.59E-08
ENSG00000100626,GALNT16,-1.11,3.37,-11.29,1.36E-24,1.56E-25
ENSG00000100628,ASB2,-1.75,1.34,-25.77,8.97E-76,4.84E-76
ENSG00000100629,CEP128,0.43,1.06,8.39,2.42E-15,2.22E-16
ENSG00000100632,ERH,1.73,6.83,29.82,8.86E-89,9.55E-89
ENSG00000100644,HIF1A,2.6,5.6,29.54,6.57E-88,6.70E-88
ENSG00000100647,SUSD6,1.22,3.71,15.06,6.19E-38,9.94E-39
ENSG00000100650,SRSF5,-0.68,7.55,-10.25,3.94E-21,4.17E-22
ENSG00000100664,EIF5,0.66,6.77,9.55,6.95E-19,6.98E-20
ENSG00000100678,SLC8A3,-1,2.16,-7.88,7.33E-14,6.47E-15
ENSG00000100697,DICER1,-0.05,3.01,-0.63,0.53,0.03
ENSG00000100711,ZFYVE21,-0.62,6,-8.56,7.85E-16,7.30E-17
ENSG00000100714,MTHFD1,1.09,5.05,15.74,2.16E-40,3.70E-41
ENSG00000100722,ZC3H14,0.6,4.54,9,3.70E-17,3.56E-18
ENSG00000100726,TELO2,0.07,4.54,0.98,0.327,0.0189
ENSG00000100731,PCNX1,0.36,2.71,4.88,1.78E-06,1.28E-07
ENSG00000100739,BDKRB1,-0.03,0.38,-0.54,0.588,0.0332
ENSG00000100744,GSKIP,0.55,3.69,8.54,8.86E-16,8.22E-17
ENSG00000100749,VRK1,0.57,3.29,8.46,1.48E-15,1.37E-16
ENSG00000100764,PSMC1,0.69,6.52,12.11,2.01E-27,2.47E-28
ENSG00000100767,PAPLN,-0.79,2.99,-6.34,9.01E-10,7.14E-11
ENSG00000100784,RPS6KA5,-0.32,1.64,-4.82,2.33E-06,1.67E-07
ENSG00000100796,PPP4R3A,0.73,4.77,11.6,1.16E-25,1.37E-26
ENSG00000100802,C14orf93,1.14,2.55,19.53,3.68E-54,9.19E-55
ENSG00000100804,PSMB5,0.84,6.78,14.38,1.77E-35,2.66E-36
ENSG00000100811,YY1,1.09,4.67,19.98,9.17E-56,2.42E-56
ENSG00000100813,ACIN1,0.03,5.82,0.37,0.711,0.0398
ENSG00000100814,CCNB1IP1,0.62,4.94,7.96,4.25E-14,3.77E-15
ENSG00000100815,TRIP11,0.55,2.11,9.43,1.64E-18,1.63E-19
ENSG00000100823,APEX1,1.53,6.66,25.49,7.71E-75,3.97E-75
ENSG00000100836,PABPN1,-0.69,6.65,-9.69,2.42E-19,2.46E-20
ENSG00000100842,EFS,0.75,4.23,7.44,1.29E-12,1.10E-13
ENSG00000100852,ARHGAP5,-0.02,4.26,-0.23,0.821,0.0456
ENSG00000100865,CINP,0.97,5.07,18.16,3.50E-49,7.61E-50
ENSG00000100867,DHRS2,0.2,0.65,2.9,0.00402,0.000257
ENSG00000100883,SRP54,0.77,4.71,13.02,1.34E-30,1.78E-31
ENSG00000100884,CPNE6,-3.99,3.53,-28.25,7.47E-84,6.10E-84
ENSG00000100888,CHD8,0.23,4.79,3.46,0.000622,4.11E-05
ENSG00000100889,PCK2,1.31,3,17.82,5.78E-48,1.21E-48
ENSG00000100890,PRORP,1.63,4.04,29.8,1.04E-88,1.11E-88
ENSG00000100897,DCAF11,-0.34,5.15,-5.12,5.59E-07,4.10E-08
ENSG00000100902,PSMA6,1.31,6.92,21.73,5.71E-62,1.86E-62
ENSG00000100906,NFKBIA,1.18,6.11,11.37,7.16E-25,8.30E-26
ENSG00000100908,EMC9,0.11,4.63,1.88,0.0606,0.00367
ENSG00000100911,PSME2,1.57,6.61,23.79,3.99E-69,1.66E-69
ENSG00000100916,BRMS1L,0.11,3.28,1.7,0.0907,0.00543
ENSG00000100918,REC8,-0.15,4.35,-1.22,0.223,0.013
ENSG00000100926,TM9SF1,1.89,4.24,25.92,2.73E-76,1.50E-76
ENSG00000100934,SEC23A,0.94,3.84,12.56,5.39E-29,6.89E-30
ENSG00000100938,GMPR2,0.2,5.7,3.72,0.00024,1.61E-05
ENSG00000100941,PNN,-0.22,4.74,-2.57,0.0108,0.000681
ENSG00000100949,RABGGTA,-0.53,4.41,-8.3,4.50E-15,4.10E-16
ENSG00000100968,NFATC4,-0.11,4.03,-1.09,0.279,0.0162
ENSG00000100979,PLTP,2.77,7.07,24.7,3.36E-72,1.56E-72
ENSG00000100982,PCIF1,0.88,4.91,15.42,3.06E-39,5.11E-40
ENSG00000100983,GSS,0.91,4.87,15.13,3.55E-38,5.73E-39
ENSG00000100985,MMP9,3.51,2.56,19.43,8.47E-54,2.09E-54
ENSG00000100987,VSX1,-0.59,1.01,-9,3.66E-17,3.52E-18
ENSG00000100991,TRPC4AP,0.54,5.52,9.68,2.76E-19,2.80E-20
ENSG00000100994,PYGB,0.17,6.2,2.22,0.0272,0.00168
ENSG00000100997,ABHD12,0.03,6.22,0.56,0.576,0.0325
ENSG00000101000,PROCR,2.48,2.69,28.21,1.05E-83,8.48E-84
ENSG00000101003,GINS1,2.56,2.38,32.89,5.10E-98,9.97E-98
ENSG00000101004,NINL,-0.59,2.49,-6.17,2.39E-09,1.87E-10
ENSG00000101017,CD40,1.06,2.67,12.46,1.24E-28,1.57E-29
ENSG00000101019,UQCC1,0.13,5.03,2.39,0.0174,0.00108
ENSG00000101040,ZMYND8,-0.23,3.92,-3.25,0.00128,8.39E-05
ENSG00000101049,SGK2,-0.48,1.59,-4.79,2.77E-06,1.98E-07
ENSG00000101052,IFT52,2,4.77,35.52,1.42E-105,4.92E-105
ENSG00000101057,MYBL2,4.12,2.57,35.39,3.43E-105,1.16E-104
ENSG00000101079,NDRG3,-1.08,5.41,-13.55,1.67E-32,2.33E-33
ENSG00000101082,SLA2,0.36,0.43,11.42,4.86E-25,5.66E-26
ENSG00000101084,RAB5IF,1.5,6.2,29.51,8.06E-88,8.20E-88
ENSG00000101096,NFATC2,1.15,1.28,17.75,1.03E-47,2.16E-48
ENSG00000101098,RIMS4,-2.06,3.65,-14.51,6.04E-36,9.20E-37
ENSG00000101104,PABPC1L,1.13,3.76,9.5,9.68E-19,9.69E-20
ENSG00000101109,STK4,0.76,2.93,13.22,2.60E-31,3.52E-32
ENSG00000101115,SALL4,0.42,0.46,6.29,1.21E-09,9.58E-11
ENSG00000101126,ADNP,1.08,4.52,16.75,4.40E-44,8.29E-45
ENSG00000101132,PFDN4,0.66,5.04,10.17,6.96E-21,7.32E-22
ENSG00000101134,DOK5,1.62,4.31,17.99,1.45E-48,3.09E-49
ENSG00000101138,CSTF1,1.46,3.86,26.22,2.78E-77,1.60E-77
ENSG00000101144,BMP7,1.43,4.7,12.38,2.31E-28,2.91E-29
ENSG00000101146,RAE1,1.32,4.63,21.46,5.11E-61,1.60E-61
ENSG00000101150,TPD52L2,0.4,6.05,7.75,1.77E-13,1.55E-14
ENSG00000101152,DNAJC5,-0.91,5.35,-11.51,2.35E-25,2.75E-26
ENSG00000101158,NELFCD,0.85,5.77,14.81,5.15E-37,8.07E-38
ENSG00000101160,CTSZ,1.9,6.11,17.58,4.50E-47,9.24E-48
ENSG00000101161,PRPF6,0.76,5.43,10.13,9.44E-21,9.90E-22
ENSG00000101166,PRELID3B,1.9,4.54,27.07,4.61E-80,3.09E-80
ENSG00000101180,HRH3,-3.32,1.96,-35.07,2.69E-104,8.28E-104
ENSG00000101181,MTG2,0.27,4.74,4.33,2.05E-05,1.43E-06
ENSG00000101182,PSMA7,1.68,7.56,30.06,1.65E-89,1.85E-89
ENSG00000101187,SLCO4A1,-1.79,3.26,-14.7,1.23E-36,1.91E-37
ENSG00000101188,NTSR1,-0.62,0.64,-9.15,1.24E-17,1.20E-18
ENSG00000101189,MRGBP,0.64,3.23,11.72,4.50E-26,5.37E-27
ENSG00000101190,TCFL5,-0.6,3.54,-9.1,1.76E-17,1.71E-18
ENSG00000101191,DIDO1,0.34,4.03,5.24,3.11E-07,2.30E-08
ENSG00000101193,GID8,0.87,4.28,15.19,2.23E-38,3.63E-39
ENSG00000101194,SLC17A9,0.1,1.54,1.32,0.189,0.0111
ENSG00000101197,BIRC7,0.4,0.47,7.69,2.60E-13,2.26E-14
ENSG00000101198,NKAIN4,1.66,5.2,8.54,9.08E-16,8.43E-17
ENSG00000101199,ARFGAP1,-0.34,5.83,-4.15,4.33E-05,2.99E-06
ENSG00000101203,COL20A1,0.03,3.65,0.11,0.909,0.0502
ENSG00000101204,CHRNA4,-2.44,1.92,-23.88,2.11E-69,8.90E-70
ENSG00000101210,EEF1A2,-2.8,6.98,-17.01,5.13E-45,9.94E-46
ENSG00000101213,PTK6,-0.32,0.42,-9.53,7.89E-19,7.92E-20
ENSG00000101216,GMEB2,0.18,2.86,3.08,0.00228,0.000148
ENSG00000101220,ADISSP,0.72,5.51,12.04,3.64E-27,4.45E-28
ENSG00000101222,SPEF1,-0.98,2.43,-8.06,2.18E-14,1.96E-15
ENSG00000101224,CDC25B,0.8,5.22,10.76,8.11E-23,8.95E-24
ENSG00000101230,ISM1,0.01,0.71,0.19,0.853,0.0472
