"Gene","logFC_mouse","AveExpr","t","PValue","FDR","B","padj","negLog10P","Classification"
"Psmb10",-2.8419485780257,4.51452289320022,-10.0803488788758,4.13971868110673e-06,0.00230054159533504,4.91112721646538,0.00230054159533504,2.63816990999268,"DOWN"
"Rftn2",3.65403637614851,4.21779491551512,10.1895184428841,3.79275868858848e-06,0.00229907465809554,4.84828675330761,0.00229907465809554,2.6384469256109,"UP"
"Junb",-2.98763268789206,4.67483238326901,-9.96472017920117,4.54592585881039e-06,0.00244207137135294,4.82411733237115,0.00244207137135294,2.61224164762627,"DOWN"
"Psmb8",-3.12617414156868,4.39848959002844,-9.90740219620508,4.76346759768433e-06,0.00246175397994857,4.77272992606838,0.00246175397994857,2.60875535127858,"DOWN"
"Folh1",4.17286314151685,3.70620084929048,10.3526180189228,3.33278586327748e-06,0.00229907465809554,4.73285081815637,0.00229907465809554,2.6384469256109,"UP"
"Tuba1b",-3.17595865237659,5.87838871498554,-9.83002303503424,5.07561530170456e-06,0.00246175397994857,4.72341618003269,0.00246175397994857,2.60875535127858,"DOWN"
"Opalin",4.46361358225824,4.05271652237067,10.1468054674211,3.92452521022568e-06,0.00229907465809554,4.70776607265897,0.00229907465809554,2.6384469256109,"UP"
"Oas3",-3.2044354656821,3.72686299359911,-9.68303130579855,5.73277058315229e-06,0.00246175397994857,4.56777978626815,0.00246175397994857,2.60875535127858,"DOWN"
"Etnppl",4.14685308650647,3.52564329963755,10.1247871684116,3.99442109870161e-06,0.00229907465809554,4.54098682419253,0.00229907465809554,2.6384469256109,"UP"
"Lrrn1",3.7811676154315,4.28924714306172,9.75321381498659,5.40796918605073e-06,0.00246175397994857,4.53741331222915,0.00246175397994857,2.60875535127858,"UP"
"Fos",-3.62339571505046,3.48407252429094,-9.67620881289129,5.76547676711963e-06,0.00246175397994857,4.52321483940936,0.00246175397994857,2.60875535127858,"DOWN"
"Gbp8",-4.57869573921556,5.54147609500549,-9.56310974110656,6.33881842349314e-06,0.00249161945641501,4.50446156455692,0.00249161945641501,2.60351828649083,"DOWN"
"Phyhipl",4.42795621537059,4.7882999172025,9.6698738751971,5.79603032915693e-06,0.00246175397994857,4.49483407533515,0.00246175397994857,2.60875535127858,"UP"
"Mal",4.80084187398128,4.22248259947203,9.80375175966001,5.1866809498035e-06,0.00246175397994857,4.48904883906018,0.00246175397994857,2.60875535127858,"UP"
"Gm10076",-3.47960270583466,3.33924493821147,-9.63376769057935,5.97362301817773e-06,0.00246175397994857,4.46874078037796,0.00246175397994857,2.60875535127858,"DOWN"
"Gm973",3.59875680023793,4.50284554908168,9.60681992438588,6.11008682042335e-06,0.00246175397994857,4.4606113250323,0.00246175397994857,2.60875535127858,"UP"
"Tspan2",4.16880233156308,5.75742467732298,9.51638796340355,6.59381930891176e-06,0.00249348832151131,4.43513844928737,0.00249348832151131,2.60319266150019,"UP"
"Cdk1",-3.96807848909528,3.15950652543259,-9.62608880228498,6.01216277843161e-06,0.00246175397994857,4.41134143606228,0.00246175397994857,2.60875535127858,"DOWN"
"Tapbp",-2.73159068626373,6.12039489054143,-9.40396153378486,7.25513236610315e-06,0.00249348832151131,4.36969067152567,0.00249348832151131,2.60319266150019,"DOWN"
"H2-Q4",-2.99120791303642,6.75923772772609,-9.37369570057548,7.44544524421115e-06,0.00249348832151131,4.34362422965245,0.00249348832151131,2.60319266150019,"DOWN"
"Polr2l",-2.95320027651186,3.95116659682649,-9.37448491236602,7.44041320915667e-06,0.00249348832151131,4.3361488472827,0.00249348832151131,2.60319266150019,"DOWN"
"Dusp1",-2.84717768540584,3.94096242027577,-9.3374739946166,7.68049000501639e-06,0.00249348832151131,4.30596377339972,0.00249348832151131,2.60319266150019,"DOWN"
